Feel Good Blend,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,38930,topsify
1,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,75,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
3,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida or Death and All His Friends,1CEODgTmTwLyabvwd7HBty,80,https://p.scdn.co/mp3-preview/bb0a310830636ebf8e5f6a1fa03d129a9724f7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Proud,5Hn7tZgFMPVAQkRZDcum3t,John Splithoff,7A2x4Urpc4VKF1pb7qnNqD,Proud,4AmS2KJwrtOjvAY2SkH8rX,47,https://p.scdn.co/mp3-preview/f1f9f87c6a8254cc02fdc74bb6c9cfe6dfa68bf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Shake It Off,0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989 (Deluxe),1yGbNOtRIgdIiGHOEBaZWf,77,not available
6,Can't Help Me Now,4585IKfPMXI7CuX4TFa32k,Rob Thomas,3aBkeBhwadnWMWoVJ2CxJC,Chip Tooth Smile,0vCpM6bbidKly1aRrf8wmz,53,https://p.scdn.co/mp3-preview/8ddb6c7d81359d47385005a78c961e52393f3716?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,72,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Speechless,3GJ4hzg4lrGwU51Y3VARbF,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,0g1F5eGVwX4Sxi1n8ojPkE,79,https://p.scdn.co/mp3-preview/69de5cae36cc21287d66bcb93f3ba178198615c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"Don't Give Up On Me - (From ""Five Feet Apart"")",4Y0TtDriFlN3XZoQx6PYsu,Andy Grammer,2oX42qP5ineK3hrhBECLmj,"Don't Give Up On Me (From ""Five Feet Apart"")",0yfSE7Q6NGIbvnEU0sFNRP,54,not available
