US Top 40,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,32962,topsify
1,Dance Monkey,5ZULALImTm80tzUbYQYM9d,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,99,https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,92,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,73,not available
4,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,75,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,89,https://p.scdn.co/mp3-preview/7b43dd0c94b0af0c0401381a683d2f4833180ba3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,79,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Upside (feat. Elle King),6mPstbtzhyqKmwefY4eVWD,Lindsey Stirling,378dH6EszOLFShpRzAQkVM,The Upside (feat. Elle King) / The Upside / Underground,1B9rsSz0Prc3R2NtDrs5nN,52,not available
8,Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,98,not available
9,What Am I,1HimGOB6BjOaCQYMIF1xtU,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,What Am I,6IEEEv0mmFYPjhATWKYZRE,83,https://p.scdn.co/mp3-preview/07c61d627e0537fa0d7f11bbab0c763bd9165d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
11,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Lonely,1MF23oT6lg5q47LnZ91UPy,85,https://p.scdn.co/mp3-preview/3fa1dc5fe5068d6c7189d3871cb1fd1615330b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Party (feat. A Boogie Wit da Hoodie),5PDoWY5Av2Ba3rWIdY9Ij0,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Party (feat. A Boogie Wit da Hoodie),2ce9XFj7OA3f78oO5XFFhV,77,https://p.scdn.co/mp3-preview/e7d8a4a8c5200f284bf30197c90bca65d2ea0fd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I'm Not Alright,7Ht0v0LWBCOEjmNQ0iMpNr,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,I'm Not Alright,3AaYBMcqoBYcZLfBsNDLri,61,https://p.scdn.co/mp3-preview/09b9a158cc7aba3e0dc4fbb1d693dbd854f9023e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
