Chilled Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,28348,topsify
1,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,84,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,55,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,70,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,56,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,The Bones (with Hozier),6HzebUNgGlzC1AMBwHGIkH,65,https://p.scdn.co/mp3-preview/e05874f657064f79368d2db7459c5a0ea8740b45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Glorious,7xPIlYAQvOubFllPkn8XSL,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Glorious,7ioa0F9HHBzTCV5VbFupal,64,https://p.scdn.co/mp3-preview/9a437d0c87ec989113bffb96acc7481efd4514c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Either You Love Me Or You Don't,20dLwdByS6il74d9UR7hcU,Plested,2nJYGgfTf2846LtVB3AES8,Either You Love Me Or You Don't,38qOBmaEvLag7aq1CYVR7w,60,https://p.scdn.co/mp3-preview/efcadc2c66c5f85a9b0d336274371ff3d491906e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,68,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Didn't Break It Enough,7zAPuRyZGRLPSGNnaj1H7X,Griff,5RJFJWYgtgWktosLrUDzff,Didn't Break It Enough,2Zd8vhZtRzFkNWe2GQrc1v,51,https://p.scdn.co/mp3-preview/1878b12a3b57fad627d4248e67e562c956516eec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sorry (Acoustic) [feat. Hayley May],28FY7O241klK8bFgz044xl,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry (Acoustic) [feat. Hayley May],2kGsVlDbwMfVKUvK7aVCOY,38,https://p.scdn.co/mp3-preview/026d0cfa360cab90be01111ba7ab3b561397310d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Dislocated,2lcvJOZGtYQY7VxhtViPVJ,Áine,3pTb88yNTcIsydqTaUE0fE,Dislocated,4g1OJln0s4UpP6RjRGTbPr,43,https://p.scdn.co/mp3-preview/868ccf2e215c92333f073601e53177d9548d111b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Something About You (with Rudimental) - Chill Mix,6sgqf4wXFWSAmjL1TEXNvZ,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Something About You (with Rudimental) [Alternate Versions],4T4QEtrQvAUYtvpX20DO3z,56,https://p.scdn.co/mp3-preview/323915d1550331e7b2b3343febc7336b8b544c46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,This Is On You,2oeYjGXqPooFVy64aoqrJP,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,This Is On You,1BTAYKbh1kQaNRJ2TSC8I6,61,https://p.scdn.co/mp3-preview/d3c4aafc723b949c4e32409b2346ee7dbe144d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Bones,3RGvoMBGhoY43FudUpVvqo,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Bones,2umIONJdwiF43nstu1xtpI,65,https://p.scdn.co/mp3-preview/7e2d8ab2c455868f2fcc2a9de484b56c5cc26465?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,The Lost and Leaving,0QWAEr6hjMtNGsutMJQSgX,Carmody,4wdK3zLMWPQK6CD0dpHh8F,Catching Blue,6qEkhHpfkQoHNXdLCnvEV7,49,https://p.scdn.co/mp3-preview/61522f1db77c9bae84d41b4ee80a7e2c03a72112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You,40vQONzvJb6sKejDN3eWza,92,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
