Led Zeppelin x The Black Keys,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,16470,topsify
1,In the Light - 1990 Remaster,3Ch9zofxkeb5Dh1poeEhF8,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Physical Graffiti,1lZahjeu4AhPkg9JARZr5F,53,https://p.scdn.co/mp3-preview/79af9e834d7819a9c02743fc68a0b022dbf3c370?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Tangerine - Remaster,4ywWJqYKOwaVVh9xXARWUS,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin III (Remastered),6P5QHz4XtxOmS5EuiGIPut,60,https://p.scdn.co/mp3-preview/b28aa56d89be81f14aa7bf29e8924e7cf949348d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,No Quarter - 1990 Remaster,2fQ2iALVbAZ7MkH6PaaIJ6,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Houses Of The Holy,5phxHbK2GSr7hEu4orLywP,54,https://p.scdn.co/mp3-preview/6ed64a85da976d65c33059c74afcb168a8a1d246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,When the Levee Breaks - Remastered,05f8Hg3RSfiPSCBQOtxl3i,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Deluxe Edition),44Ig8dzqOkvkGDzaUof9lK,63,https://p.scdn.co/mp3-preview/b9c45ab3f67e56f3cbd45b087fb52787a1175c22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Kashmir - 1990 Remaster,2nVHqZbOGkKWzlcy1aMbE7,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Physical Graffiti,1lZahjeu4AhPkg9JARZr5F,70,https://p.scdn.co/mp3-preview/13b2c47c98132f80a5ce12d8a4ceb192ba7a4345?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The Ocean,3K2KSafiK1to517id5CoPr,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Houses Of The Holy,5phxHbK2GSr7hEu4orLywP,55,https://p.scdn.co/mp3-preview/c40b3757814d1f29290189daa857707d8461d45c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,How Many More Times - 1993 Remaster,5VBzIn9cBH4BNa1c6Zilba,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,3ycjBixZf7S3WpC5WZhhUK,54,https://p.scdn.co/mp3-preview/ad1114e3223bcb4c7c07a7c66e12df94645ebcba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Whole Lotta Love - 29/6/69 Top Gear; 2016 Remaster,03ybzRUwX9zWK69fSAAROH,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,The Complete BBC Sessions,6VH2op0GKIl3WNTbZmmcmI,44,https://p.scdn.co/mp3-preview/547df5251cac493876aecdd8822e11562d75b17f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Immigrant Song - Remaster,78lgmZwycJ3nzsdgmPPGNx,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin III (Remastered),6P5QHz4XtxOmS5EuiGIPut,78,https://p.scdn.co/mp3-preview/8455599677a13017978dcd3f4b210937f0a16bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Hey Hey What Can I Do - 2012 Remaster,2AqsxgflV63VWMfDAUUJCw,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin x Led Zeppelin,5jQEuOsezpHOAhfQXMGTLo,37,https://p.scdn.co/mp3-preview/fc40475a8755463042da43e1222b1f66f3b6f649?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Bring It on Home - 2012 Remaster,1rxD34LAtkafrMUHqHIV76,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II (Remaster),58MQ0PLijVHePUonQlK76Y,54,https://p.scdn.co/mp3-preview/cb58b4519fe309df98bae58b1e141b9186f56ac9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
