Party Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,207571,topsify
1,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid),3E12WU80fDMyu7GyIAx7wJ,94,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,1999,2H7PHVdQ3mXqEHXcvclTB0,Prince,5a2EaR3hamoenG9rDuVn8j,1999,3U1ht9EdWEI9nMvaqdQI67,69,https://p.scdn.co/mp3-preview/a9e29b17391150efb9a933faf491db7ea17f8274?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,88,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,La La Land (feat. YG) - ARKADI Remix,6tNFS5rpeI1V2mFhQNjndf,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,La La Land (feat. YG) [ARKADI Remix],6qIMguHB7RbQNQuJXSDTnS,39,https://p.scdn.co/mp3-preview/87ffd80c9478b94461bf48a3f953b38185be8ecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Party Never Ends,35F2tdWosmulYdcmsXpQ7x,Alok,0NGAZxHanS9e0iNHpR8f2W,Party Never Ends,34safHRUbL0hGUi5JB86tM,68,https://p.scdn.co/mp3-preview/db45504a85f989fc4ef751c126984e0311d92c79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Le Freak - Oliver Helden's Remix,6pytDoBX1HFvOfhOL5H5hk,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Le Freak (Oliver Heldens Remix),7FfJcQLjx8grThaOW0GFkm,57,https://p.scdn.co/mp3-preview/9444d52ad0fcd954cb757f25600dcf247f22b5cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,New Vibe Who Dis (feat. Little League),3TjE3A8tLih7KBwKJ03Htl,Madison Mars,4gJCFxvqKc43Ifk0UIBB42,New Vibe Who Dis (feat. Little League),2ToTe3g0Cjvz9zhgHWwbyJ,58,https://p.scdn.co/mp3-preview/93677a7b145eaad7ec91d616ca4c3fdc2dc1d6e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,I Don't Belong In This Club - Breathe Carolina Remix,7D8oYi6Cnb0eSWXvlZuV6D,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,I Don't Belong In This Club (Breathe Carolina Remix),3pCTPWkRqGsgPIc8iGSLr7,50,not available
9,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,1PvEp0qeU6o2rm0i2qUC2N,82,https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
