Chill Hip-Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,24840,topsify
1,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby),1Yu378yDTmy6EIDYNIEALh,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby),5iNklOSVkzDK96qBxbMmlR,72,https://p.scdn.co/mp3-preview/e6216adb6f375a0dff40cb65d73250c5fb1d53da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",7BpRvsDdzfsma8382uO55A,Hitmaka,1VeOsE6gNwoBsIAinCAb3l,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",0uQOZ7tBmOqoMLT4Z4tO5v,72,https://p.scdn.co/mp3-preview/e99b137035350019d226ae0ccac7fc09261a69e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,223's (feat. 9lokknine),7cekEHNPgpKwVd9kJE9G8F,90,https://p.scdn.co/mp3-preview/66004e52c8bdda0d39a9aa99bbc549df1a4e15e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,88,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Behind Barz - Bonus,4B7fTyj1FIPvP9tT5X3DnR,Drake,3TVXtAsR1Inumwj472S9r4,Behind Barz (Bonus),7dkkh6qYHqduXSWQFhmQ0i,79,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,My Type (feat. City Girls & Jhené Aiko) - Remix,5LTdRSQOg63EazLbKZbWn2,Saweetie,6cK3NBO6uP7hh0oyuVELFl,My Type (feat. City Girls & Jhené Aiko) [Remix],3zA4avOuepGbVtebFZzAz5,73,https://p.scdn.co/mp3-preview/21f03b43d1a6551691894cec2fd991fa53692a84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,81,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,78,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Throw It Back,3qc67Hflqzvw3hShw2phgG,Missy Elliott,2wIVse2owClT7go1WT98tk,ICONOLOGY,6t1leWJ43SjwKoKRL9YWiX,71,https://p.scdn.co/mp3-preview/56d8a5503b82a24e86c2b673c9d359fcb7b12c0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,24,3sufgB1pM6cLtCtFWgqQAH,IDK,6aiFCgyKNwF9Rv5TOxnE8E,24,10WDTlTWNTBzgkMikKcCRe,61,https://p.scdn.co/mp3-preview/4f361054dbc2989ceabd146c26aeb8935b67ba38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,STARGAZING,7wBJfHzpfI3032CSD7CE2m,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,82,https://p.scdn.co/mp3-preview/d2d23f9ea674dffde91d99783732b092655ccaf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Work It Out,1drpZ7Cj30PBbl0qbleUbB,Caz Aglets,6mjoV6n86Y3qEJQybkjEtg,Work It Out,1yKFaE3QoXinzXnlxJpign,20,https://p.scdn.co/mp3-preview/0fff9cab17dcf9ce27d7c9e490e8be89d53aa178?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Stop Calling (feat. Key Glock & Tay Money),570fgRkd58jDYC4uYAg74V,MadeinTYO,5SyGEPymt1G2uto47tVWvZ,Stop Calling (feat. Key Glock & Tay Money),24ZyrExx41cMhL6XwuHBqZ,63,https://p.scdn.co/mp3-preview/cb92f3ad64abbe2a3961dd22638b01dcbd15371b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,More Money More Ice,0MLi0xtqUGYzIDPHEc0SdT,Lil Skies,7d3WFRME3vBY2cgoP38RDo,More Money More Ice,4iFs8JSatV8IXiaAUfYprB,68,https://p.scdn.co/mp3-preview/cf24154a263232f343ef3c6faff292070a0674ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Pull Up Game Crazy,3Cpfl1E3AePaUcdJvXLIev,Childish Major,4bMNzAopkqYTwkBLwMKsF1,Dirt Road Diamond,31930PbkQiaxgcCsmX0Rkf,50,https://p.scdn.co/mp3-preview/9a37ea4dd18720ead8767f712b2b01082ebeb11f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Truth Hurts (DaBaby Remix),01jBJGEa9Ex9W2IjkIzuY6,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts (DaBaby Remix),5Z1L2QX1aTvFy3a6lmmHlE,69,https://p.scdn.co/mp3-preview/5bfcb49c634c25e7cb4efbeca9f672ef8d0b84e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,First Things First (feat. G-Eazy and Reo Cragun),1F3tlgcYiaZjgAraz8QQiA,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,First Things First (feat. G-Eazy and Reo Cragun),5hAxEYaeRz7KwDI85ffxDD,60,https://p.scdn.co/mp3-preview/e84ec56cb8eb9f741a6c0b55f34a67e7cbef375d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
