ON REPEAT,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7,warnerbros.records
1,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,89,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,24,3sufgB1pM6cLtCtFWgqQAH,IDK,6aiFCgyKNwF9Rv5TOxnE8E,24,10WDTlTWNTBzgkMikKcCRe,61,https://p.scdn.co/mp3-preview/4f361054dbc2989ceabd146c26aeb8935b67ba38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,72,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Thunder,5dSMIKHTQEE641IEpWKEOh,99 Neighbors,5uhqkMm8dyQvX83kl4Znq0,Thunder,7JCnCy4ac5H0yN4WTHZHD6,42,https://p.scdn.co/mp3-preview/3ba22349393f0869cb765b3bc68e77a3d90993bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Superstar,4EYvuvqzUepdNaUlUZKVve,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,Superstar,45ScJwTLqnrTpmsjehHPHM,64,https://p.scdn.co/mp3-preview/bc9ac69e0dbf531a29d55286aa6e1ba08d0d2818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,UP,6goojh0DIp1jAaqXBNrd6J,Baka Not Nice,3yvCFkK57FXH7JIwZQ5CmU,UP,3xbRlt8aMesxgNblRkzd97,0,https://p.scdn.co/mp3-preview/4a6d82c58f75b2db9a2f1a2cb6d660906bedeb5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Routine (feat. Rick Ross & Meek Mill),5MqPHMhLXyZDDPHMGEF6MQ,Wale,67nwj3Y5sZQLl72VNUHEYE,Wow... That's Crazy,0JRDNN0AuZZiwyrOWkNDXC,62,https://p.scdn.co/mp3-preview/3fcd0bc3f922c1cc188cc5f52dd0c2d558ad8615?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,My Type (feat. City Girls & Jhené Aiko) - Remix,5LTdRSQOg63EazLbKZbWn2,Saweetie,6cK3NBO6uP7hh0oyuVELFl,My Type (feat. City Girls & Jhené Aiko) [Remix],3zA4avOuepGbVtebFZzAz5,73,https://p.scdn.co/mp3-preview/21f03b43d1a6551691894cec2fd991fa53692a84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Digital,7GcbUQUvw2TIfmDfya8Jgv,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,63,https://p.scdn.co/mp3-preview/6f1e7795e3e9d6d1d0048b68606a8442cd4bf62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Bubbly,2rGgIteiX209jWcsbS1MXq,Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Bubbly,61EUToVfhT7of9Dnd6WP1O,66,https://p.scdn.co/mp3-preview/1c153d5f4759fd0ccdb8b1eb642f772094ed038c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Compromise (feat. Sabrina Claudio),4knQ536ymVE6WJTlmTlISw,Gallant,7wFDo161xYdeaiLz3KIHoM,Compromise (feat. Sabrina Claudio),5sTglsazSFT2Wkvc7cbKdA,59,https://p.scdn.co/mp3-preview/8afaf618ec61d83c08ca62334693d9730aa34c92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Old Streets,5ZnMTmxjRCQKRgSiV9Y26g,2kbabysage,064EWUHS2vbPlSqowPxa3a,Old Streets,4R0wB9NYZItglxO4TgsIXN,59,not available
13,Sleep On It,5S5Cf673GkmYWBJNcGAVuP,Gallant,7wFDo161xYdeaiLz3KIHoM,Sleep On It,6PBKOpCw2Hs1kWsNW9PsW9,58,https://p.scdn.co/mp3-preview/cd1887c33e14fd8b0150eee97f2e7c9cfe2fd73c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
