AMPED,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,14,warnerbros.records
1,"Fire, Ready, Aim",3I8Ri6tLa4QA11MMdZywtM,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,1xIgeQeVlMe5fcAVpRjkaP,66,https://p.scdn.co/mp3-preview/2e4803f2d87f1b15fadbddfc764feff05833438f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,You're Different,4E8nFDoqXZLCARdOmDNFvM,The Shelters,7LrFQFaZaxfa9deqkjvc89,You're Different,4df5SRwEuHiOJ8t8gWa1mE,33,https://p.scdn.co/mp3-preview/ccd276d4235224d22b68a8232372448b5917bce6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Low Down Rolling Stone,59oXRNRnmmTbwgkZkV7l4g,Gary Clark Jr.,01aC2ikO4Xgb2LUpf9JfKp,This Land,6pwdy6oQdwSQo8XOfpfAJJ,55,https://p.scdn.co/mp3-preview/47bab1c23b567b523b44d590559e5bb63d9c1978?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Now That I've Found You,4QSxcUAwEx5sFitOKZfQDN,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Why Me? Why Not. (Deluxe Edition),6iInyjotj1rYpx3vbX0MxX,67,https://p.scdn.co/mp3-preview/995b65f84419ca454aca539b187976a8a442fe65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Don't Believe the Things They Tell You (They Lie),5tMQmJaBpnZ8EJhQJwkok6,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,Don't Believe the Things They Tell You (They Lie),0fIOZUDWUws5WWxLQkD6BA,51,not available
7,Cradles,1y4jsQt7MjnZhiD1L6qFBC,Sub Urban,7gXb99Sf9nNmpNYeAgIQFG,Cradles,2fLkonSk9cVovvnRKKYtk5,79,https://p.scdn.co/mp3-preview/b59907c608acf5b1f713d06e8eec421a3b16480d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Mover Awayer,1yyIxshSIfW89EPTW0xkPH,Hobo Johnson,05SdqPzK4m3k1ljK2wrTSP,The Fall of Hobo Johnson,3QrkHSj8pBzE1Kwhpnktkw,68,https://p.scdn.co/mp3-preview/57dab033d29349ef8cbe628e5e784b5a8889305f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Tangled Up,2HEZY8I1NKvTvcEdFuqMnL,The Shelters,7LrFQFaZaxfa9deqkjvc89,Jupiter Sidecar,3m2KAgiUQMvia7ZKdVcR1G,39,https://p.scdn.co/mp3-preview/7aa558ecc4954f53f9e0e831d1c6a8686c970f0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Pearl Cadillac,5O6cfjyWsteTs6Mnaz9VGE,Gary Clark Jr.,01aC2ikO4Xgb2LUpf9JfKp,This Land,6pwdy6oQdwSQo8XOfpfAJJ,55,https://p.scdn.co/mp3-preview/b300d356d827daba60db50a8e2062066dd6de53f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,See You Through My Eyes,2XBAkFYQyVNnwhGQVNxQKZ,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Living Mirage,27LNgTSAGxE2fitrsCukmT,59,https://p.scdn.co/mp3-preview/85f465c56390bca002e5b093c7a1c4421b59cfa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
