WARNER REWIND,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,16,warnerbros.records
1,Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,The Black Parade,0FZK97MXMm5mUQ8mtudjuK,77,https://p.scdn.co/mp3-preview/0c19f3a680ff92f9d38a34b3310e6ff1a661ab1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Teenagers,7j31rVgGX9Q2blT92VBEA0,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,The Black Parade,0FZK97MXMm5mUQ8mtudjuK,77,https://p.scdn.co/mp3-preview/7e780e073cb38e63e13544cd28a80d1eec88a49c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,In the End,60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,83,https://p.scdn.co/mp3-preview/6ce8bcf317e8c562f348ea22c846846b5b70e8d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Gold on the Ceiling,5lN1EH25gdiqT1SFALMAq1,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,El Camino,5DLhV9yOvZ7IxVmljMXtNm,70,https://p.scdn.co/mp3-preview/ff2b18fdee4aa8f3945a03b6adcb2b67e04b9448?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Otherside,64BbK9SFKH2jk86U3dGj2P,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Californication (Deluxe Edition),2Y9IRtehByVkegoD7TcLfi,79,https://p.scdn.co/mp3-preview/3dfe48540e8c8b3a4b3434837952a3aa5b9291e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,7 Years,5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,4rFrdkSWs0dtj0rWPzOk1v,80,https://p.scdn.co/mp3-preview/3261944a4e12e2c7bee9266b1b14558e71a97964?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Meant to Be (feat. Florida Georgia Line),4e4fqjx0Izh4svvTef1z7e,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Expectations,4TOkZvtqNpg5UHyGxCn0mS,73,https://p.scdn.co/mp3-preview/47ae99be51862e068f3d482e5a93958d51b21965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,She's Not Me,388mKnPdjaZ6FCRvmRmGlH,Jenny Lewis,5cMVRrisBpDkXCVG48epED,The Voyager,5sCsfubNchaI9RCpP7K7aB,45,https://p.scdn.co/mp3-preview/8ac4a8612badf67f0121223fcbdb08d9ff334637?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Iris,6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Dizzy up the Girl,4UMjBXcRqIgMZ1XumU2x5T,78,https://p.scdn.co/mp3-preview/0e87ade9fa869e31b3c32115c2c10ee8fa522c81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Wake Me up When September Ends,3ZffCQKLFLUvYM59XKLbVm,Green Day,7oPftvlwr6VrsViSDV7fJY,American Idiot,5dN7F9DV0Qg1XRdIgW8rke,78,https://p.scdn.co/mp3-preview/a83eedd6b982d4afdc2ceaeb458f471118ad78aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Crawling,57BrRMwf9LrcmuOsyGilwr,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,74,https://p.scdn.co/mp3-preview/ac8e1d7003d8a38c063ff41aefea2bf954c59b19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,Three Cheers for Sweet Revenge,3DuiGV3J09SUhvp8gqNx8h,73,https://p.scdn.co/mp3-preview/b5ad0ef700a456e320076c3000826d0ce050eb6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Uprising,4VqPOruhp5EdPBeR92t6lQ,Muse,12Chz98pHFMPJEknJQMWvI,The Resistance,0eFHYz8NmK75zSplL5qlfM,77,https://p.scdn.co/mp3-preview/104ad0ea32356b9f3b2e95a8610f504c90b0026b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Lonely Boy,5G1sTBGbZT5o4PNRc75RKI,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,El Camino,5DLhV9yOvZ7IxVmljMXtNm,73,https://p.scdn.co/mp3-preview/6b462b2d89ed30b669470c39c65b0f04d6ac740b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Basket Case,6L89mwZXSOwYl76YXfX13s,Green Day,7oPftvlwr6VrsViSDV7fJY,Dookie,4uG8q3GPuWHQlRbswMIRS6,80,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Californication,48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Californication (Deluxe Edition),2Y9IRtehByVkegoD7TcLfi,81,https://p.scdn.co/mp3-preview/175ce440229d2fb5361756f3e68c9647b86a8eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Howlin' for You,0grFc6klR3hxoHLcgCYsF4,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Brothers,7qE6RXYyz5kj5Tll7mJU0v,69,https://p.scdn.co/mp3-preview/a5c29239ea62843247c24be6008222c5e95d4332?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Fever,3Hx7RXqCS7Kzjy2ot2q1Gk,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Turn Blue,6TvxpBzf9c8H1fsrAaQ8t3,62,https://p.scdn.co/mp3-preview/967c11c4564d1ceab9802463f9e81ccf4eff2e8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Helena,5dTHtzHFPyi8TlTtzoz1J9,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,Three Cheers for Sweet Revenge,3DuiGV3J09SUhvp8gqNx8h,73,https://p.scdn.co/mp3-preview/3622f88f8e0796726eee55afc6b2843c48cf75af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,American Idiot,6nTiIhLmQ3FWhvrGafw2zj,Green Day,7oPftvlwr6VrsViSDV7fJY,American Idiot,5dN7F9DV0Qg1XRdIgW8rke,79,https://p.scdn.co/mp3-preview/d5d48190dacabe9e45e2e1fe7616c4e411b28b53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Slide,0nnwn7LWHCAu09jfuH1xTA,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Dizzy up the Girl,4UMjBXcRqIgMZ1XumU2x5T,71,https://p.scdn.co/mp3-preview/28cc4f1970ab4dfa3ed97b98ce801e884584a321?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Weight in Gold,1gXBi2I04CLJkTQnhNfEJT,Gallant,7wFDo161xYdeaiLz3KIHoM,Ology,4VZh7EI0gjL2FkLWNBVIWf,58,https://p.scdn.co/mp3-preview/58b4c4288709ef8b8371189795e2056154a0ffd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
