Now Playing at Warner Records,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,8178,warnerbros.records
1,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,88,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Bubbly,2rGgIteiX209jWcsbS1MXq,Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Bubbly,61EUToVfhT7of9Dnd6WP1O,66,https://p.scdn.co/mp3-preview/1c153d5f4759fd0ccdb8b1eb642f772094ed038c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Compromise (feat. Sabrina Claudio),4knQ536ymVE6WJTlmTlISw,Gallant,7wFDo161xYdeaiLz3KIHoM,Compromise (feat. Sabrina Claudio),5sTglsazSFT2Wkvc7cbKdA,59,https://p.scdn.co/mp3-preview/8afaf618ec61d83c08ca62334693d9730aa34c92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,24,3pX767GK22EHwYEYLNEuoo,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,60,https://p.scdn.co/mp3-preview/4f361054dbc2989ceabd146c26aeb8935b67ba38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ripstick,6VpixOqGbywfTDhrUAT6S0,99 Neighbors,5uhqkMm8dyQvX83kl4Znq0,Ripstick,6mYrasjAeYYHETr84VTOVm,55,https://p.scdn.co/mp3-preview/cd58aeca0a809740af383373b9ced6e3630e3c3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Subaru Crosstrek XV,7fboXPGYCuHwv9o2jIsJft,Hobo Johnson,05SdqPzK4m3k1ljK2wrTSP,Subaru Crosstrek XV,408PFGX5r6Q7KrCA1gWZ5Z,62,https://p.scdn.co/mp3-preview/abb1f26de421b66d2436d319568d59e88913279b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Digital,7GcbUQUvw2TIfmDfya8Jgv,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,63,https://p.scdn.co/mp3-preview/6f1e7795e3e9d6d1d0048b68606a8442cd4bf62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
